Date,County,WaterTemp,AirTemp,RainFall24h,RainFall3d,RainLastWeek,DayofYear,MaxTemp1d,MaxTemp4d,MaxTemp7d,SeasonalPopulation
2020-03-16,Lee,74.07916666666667,85.79,0.0001,0.00030000000000000003,0.0032,78,86.34,84.36,76.7,796620.0
2020-03-09,Manatee,70.39583333333333,76.95,0.0006,0.0029,0.0065,71,76.11,85.31,79.94,381664.0
2020-03-10,Manatee,71.87916666666666,80.51,0.0006,0.002,0.0061,72,76.95,75.22,82.6,381664.0
2020-03-11,Manatee,72.44583333333333,81.87,0.0003,0.0015,0.0055,73,80.51,71.48,86.47,381664.0
2020-03-12,Manatee,73.24583333333334,83.79,0.0001,0.001,0.005,74,81.87,76.11,85.31,381664.0
2020-03-13,Manatee,73.22083333333333,83.73,0.0001,0.0005,0.004,75,83.79,76.95,75.22,381664.0
2020-03-14,Manatee,74.7125,87.31,0.0001,0.00030000000000000003,0.0026,76,83.73,80.51,71.48,381664.0
2020-03-15,Manatee,74.10833333333332,85.86,0.0001,0.00030000000000000003,0.0019,77,87.31,81.87,76.11,381664.0
2020-03-16,Manatee,74.62916666666666,87.11,0.0001,0.00030000000000000003,0.0013999999999999998,78,85.86,83.79,76.95,381664.0
2020-03-09,Martin,70.35416666666666,76.85,0.0006,0.0031000000000000003,0.0066,71,74.33,89.66,79.54,165905.0
2020-03-10,Martin,71.54583333333332,79.71,0.0007,0.0022,0.006199999999999999,72,76.85,77.79,85.95,165905.0
2020-03-11,Martin,72.94166666666666,83.06,0.0002,0.0015,0.0055,73,79.71,70.06,89.69,165905.0
2020-03-12,Martin,73.83749999999999,85.21,0.0002,0.0011,0.0051,74,83.06,74.33,89.66,165905.0
2020-03-13,Martin,74.69583333333333,87.27,0.0003,0.0007,0.0045,75,85.21,76.85,77.79,165905.0
2020-03-14,Martin,74.9875,87.97,0.0001,0.0006,0.003,76,87.27,79.71,70.06,165905.0
2020-03-15,Martin,75.26249999999999,88.63,0.0003,0.0006999999999999999,0.0024,77,87.97,83.06,74.33,165905.0
2020-03-16,Martin,75.775,89.86,0.0001,0.0005,0.0019,78,88.63,85.21,76.85,165905.0
2020-03-09,Monroe,69.35,74.44,0.0008,0.0036,0.0081,71,72.68,80.4,75.9,66591.0
2020-03-10,Monroe,70.27916666666667,76.67,0.0032,0.005,0.0099,72,74.44,78.72,79.8,66591.0
2020-03-11,Monroe,70.51666666666665,77.24,0.0006,0.0046,0.009000000000000001,73,76.67,74.95,80.07,66591.0
2020-03-12,Monroe,71.27916666666667,79.07,0.0029,0.006699999999999999,0.0112,74,77.24,72.68,80.4,66591.0
2020-03-13,Monroe,71.5875,79.81,0.0025,0.006,0.0128,75,79.07,74.44,78.72,66591.0
2020-03-14,Monroe,71.64166666666667,79.94,0.0005,0.0059,0.0115,76,79.81,76.67,74.95,66591.0
2020-03-15,Monroe,71.175,78.82,0.001,0.004,0.0115,77,79.94,77.24,72.68,66591.0
2020-03-16,Monroe,71.40833333333333,79.38,0.0001,0.0016,0.0108,78,78.82,79.07,74.44,66591.0
2020-03-09,Okaloosa,68.10833333333332,71.46,0.0007,0.0026,0.0842,71,69.83,67.77,72.23,191146.0
